Nombre ejercicio;Pasos;Duración;;;;;;;;;;;;;;;;;;;;;;;
Respiración 4-6 (exhalación más larga);"[""Nota el contacto de pies o silla."",""Inhala contando 4 por la nariz."",""Exhala contando 6 por la nariz."",""Repite a ritmo cómodo durante un minuto."",""Suelta el conteo y percibe el eco.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Caja suave 4-4-4-4;"[""Relaja hombros y mandíbula."",""Inhala 4."",""Pausa 4 si es cómodo."",""Exhala 4."",""Pausa 4 si es cómodo."",""Completa 3 a 4 ciclos.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Resonante 5-5;"[""Coloca una mano en el abdomen."",""Inhala 5 por la nariz."",""Exhala 5 por la nariz."",""Mantén un ritmo suave.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Escaneo relámpago de pies a cabeza;"[""Siente pies y piernas."",""Recorre caderas, abdomen y espalda."",""Suaviza hombros, mandíbula y frente."",""Percibe el cuerpo completo, de abajo a arriba."",""Respira natural.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Cinco-dedos (trazo + respiración);"[""Extiende una mano abierta."",""Con el índice de la otra mano, recorre el borde de un dedo al inhalar."",""Desciende el mismo dedo al exhalar."",""Continúa dedo por dedo."",""Respira sin prisa.""]";1;;;;;;;;;;;;;;;;;;;;;;;
3 sonidos;"[""Deja que los sonidos te encuentren."",""Identifica un sonido que escuches y nómbralo mentalmente."",""Haz lo mismo con un segundo y un tercero."",""Nota el silencio entre sonidos."",""Vuelve a la respiración.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Soltar hombros 3x;"[""Inhala elevando hombros."",""Exhala soltándolos."",""Repite 3 veces."",""Rueda hombros hacia atrás lento.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Exhalación con labios fruncidos;"[""Inhala por la nariz 3-4."",""Exhala por labios fruncidos 6-8."",""Siente el abdomen ablandarse."",""Repite 6 ciclos."",""Descansa unos segundos.""]";1;;;;;;;;;;;;;;;;;;;;;;;
3-2-1 de grounding;"[""Mira 3 cosas y descríbelas en tu mente."",""Toca 2 texturas distintas."",""Escucha 1 sonido presente."",""Respira natural."",""Siente el apoyo del cuerpo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Micro-caminar consciente (10 pasos);"[""Elige un tramo corto."",""Da cada paso notando planta, peso y empuje."",""Mantén la mirada suave."",""Respira al ritmo de los pasos.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Soltar en 3 zonas;"[""Suaviza frente y ojos."",""Afloja mandíbula y lengua."",""Relaja manos y dedos."",""Da respiraciones profundas, y repite si es necesario.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Color que calma;"[""Elige un color que te resulte calmante."",""Imagina que lo inhalas hacia el pecho."",""Exhala imaginando que sueltas tensión gris."",""Repite con suavidad."",""Permanece unos segundos sintiendo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Micro-estiramiento espinal;"[""Sentado/a, alarga la columna en la inhalación."",""Exhala y gira el torso hacia a la derecha."",""Inhala al centro y alarga."",""Exhala y gira suave a la izquierda."",""Regresa al centro y suelta. Repite""]";1;;;;;;;;;;;;;;;;;;;;;;;
4-7-8 suave (máx. 3 ciclos);"[""Exhala por la boca para vaciar."",""Inhala por la nariz contando 4."",""Retén 7 si es cómodo."",""Exhala por la boca contando 8."",""Realiza hasta 3 ciclos.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Un sorbo consciente;"[""Sírvete un vaso de alguna bebida"",""Observa color y aroma de la bebida."",""Toma un sorbo pequeño."",""Siente temperatura y textura en la boca."",""Traga notando el recorrido."",""Exhala y percibe el regusto.""]";1;;;;;;;;;;;;;;;;;;;;;;;
3 gratitudes mínimas;"[""Piensa en una cosa simple que agradeces."",""Respira con esa imagen."",""Añade una segunda cosa y respira."",""Añade una tercera y respira."",""Nota el tono del cuerpo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Etiquetado breve: nombra y deja;"[""Observa cñomo te sientes ahora mismo."",""Describe la sensación con pocas palabras."",""Permite que esté como está."",""Lleva atención a la respiración en la nariz.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Masaje de manos consciente;"[""Frota palmas para calentarlas."",""Pasa el pulgar por la palma contraria con presión agradable."",""Cambia de mano."",""Estira cada dedo suavemente."",""Respira al ritmo del movimiento.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Vista y descanso;"[""Dirige la mirada a algo lejano."",""Suaviza el enfoque y parpadea suave."",""Abre la visión panorámica."",""Relaja ojos y cejas."",""Inspira y exhala un poco más largo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Respiración ola 3-5;"[""Pon la mano bajo el abdomen y siéntelo."",""Inhala por la nariz contando 3."",""Exhala por la nariz contando 5."",""Repite durante un minuto.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Mano-corazón y abdomen;"[""Coloca una mano en el pecho y otra en el abdomen."",""Siente el movimiento con cada respiración."",""Di mentalmente ""entra"" al inhalar."",""Di ""sale"" al exhalar."",""Permite una exhalación algo más larga.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Conteo descendente 5 a 1;"[""Inhala y exhala contando 5."",""Sigue con 4 en la siguiente respiración."",""Desciende a 3, 2 y 1."",""Mantén la respiración cómoda."",""Finaliza con una exhalación larga. Repite.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Lugar seguro en 3 imágenes;"[""Elige un lugar que te calme."",""Visualiza sus colores y luz."",""Añade sonidos agradables del lugar."",""Siente la temperatura y el apoyo del cuerpo."",""Respira dentro de esa imagen.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Péndulo atencional;"[""Centra la atención en tres respiraciones."",""Cambia la atención a tres sonidos."",""Vuelve a tres respiraciones."",""Alterna una vez más."",""Termina notando el cuerpo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Postura 3 puntos;"[""En la silla, siente los pies apoyados."",""Suaviza pelvis y abdomen."",""Alarga coronilla y relaja hombros."",""Acomoda la mandíbula."",""Respira sin esfuerzo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Suspiro fisiológico 3x;"[""Inhala por la nariz hasta llenar 80%."",""Añade un pequeño segundo sorbo de aire."",""Exhala larga por la boca."",""Repite.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Tapping suave;"[""Da golpecitos suaves en el centro del pecho."",""Sigue por hombros alternos."",""Baja a muslos con ritmo cómodo."",""Respira natural."",""Detente y siente el cuerpo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
5 cosas del color elegido;"[""Elige un color del entorno."",""Busca con la vista cinco cosas de ese color."",""Nómbralas en silencio a medida que las encuentras. Imagínalas si no encuentras más"",""Respira pausado mientras buscas.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Muñecas y antebrazos;"[""Estira brazos delante."",""Flexiona y extiende muñecas suavemente."",""Gira antebrazos en círculos."",""Sacude las manos con suavidad."",""Respira al ritmo del movimiento.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Zumbido nasal suave;"[""Inhala por la nariz."",""Exhala emitiendo un zumbido mmmm suave."",""Siente la vibración en labios y mejillas."",""Repite."",""Relaja el rostro.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Contar 10 respiraciones;"[""Cuenta mentalmente cada respiración del 1 al 10."",""Si te distraes, vuelve a 1 con amabilidad."",""Mantén el ritmo natural."",""Siente el contacto con el asiento o suelo."",""Cierra con una respiración larga.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Círculo de atención;"[""Centra la atención en la respiración."",""Amplía a sensaciones del cuerpo."",""Abre a sonidos del entorno."",""Vuelve al centro en la respiración."",""Repite""]";1;;;;;;;;;;;;;;;;;;;;;;;
Intención del minuto;"[""Elige una palabra objetivo, por ejemplo 'calma' o 'claridad'."",""Inhala trayendo esa palabra."",""Exhala soltando tensión."",""Repite mentalmente.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Descanso visual 20-20;"[""Mira a una distancia de seis metros si es posible."",""Suelta el enfoque duro."",""Relaja ojos y cejas."",""Respira 4-6 de forma suave."",""Parpadea de forma natural.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Abrazo mariposa;"[""Cruza los brazos sobre el pecho con manos en hombros."",""Realiza tapping alterno lento derecha-izquierda."",""Mantén un ritmo regular y suave."",""Respira natural."",""Detente y siente el pecho.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Mantra breve “aquí, ahora”;"[""Inhala pensando estoy."",""Exhala pensando aquí."",""Mantén el ritmo agradable."",""Si te distraes, vuelve al mantra."",""Percibe el cuerpo presente.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Ordena 3 cosas consciente;"[""Elige tres objetos cercanos."",""Toma el primero notando textura y peso."",""Colócalo con atención y respira."",""Repite con los otros dos."",""Observa el efecto de ordenar.""]";1;;;;;;;;;;;;;;;;;;;;;;;
S.T.O.P. en 60s;"[""Detente un minuto a obervar cuerpo, pensamientos y emociones."",""Respira lentamente.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Bocado consciente único;"[""Coge algo de comer y míralo con curiosidad."",""Huele y nota su aroma."",""Da un bocado pequeño y mastica lento."",""Percibe textura y sabor."",""Traga y siente el sabor posterior.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Caminar 4 sentidos;"[""Comienza a caminar a ritmo lento."",""Nota durante 15 s lo que ves."",""Nota 15 s lo que oyes."",""Nota 15 s olores y aire en la piel.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Manos ancla;"[""Junta palmas o apóyalas en muslos."",""Siente temperatura y presión."",""Percibe micro-vibraciones o pulso."",""Inhala por nariz y exhala más largo."",""Suelta hombros.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Soplar vela;"[""Imagina una vela frente a ti."",""Inhala por la nariz suave."",""Exhala por la boca como si soplaras la llama sin apagarla."",""Repite."",""Relaja la mandíbula.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Enviar buenos deseos;"[""Piensa en alguien a quien quieras enviar buenos deseos."",""Inhala pensando que esté bien."",""Exhala pensando que esté en paz."",""Inclúyete a ti también."",""Siente el eco amable.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Sonrisa suave interna;"[""Suaviza ojos y comisuras."",""Permite una micro-sonrisa interna."",""Inhala notando el pecho."",""Exhala soltando hombros."",""Observa el cambio de ánimo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Rodar hombros consciente;"[""Haz 2 círculos hacia atrás lentos."",""Haz 2 hacia delante."",""Respira sin forzar."",""Repite.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Agradecimiento sensorial;"[""Mira a tu alrededor y elige algo simple."",""Nombra mentalmente 3 motivos para agradecerlo."",""Respira con esa sensación.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Una línea consciente;"[""Abre un documento o papel."",""Escribe una sola línea con plena atención."",""Percibe contacto de dedos y bolígrafo/teclado."",""Respira antes y después de la línea."",""Lee en silencio lo escrito.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Respiración 2-4;"[""Adopta postura cómoda."",""Inhala 2 por la nariz."",""Exhala 4 por la nariz o boca."",""Repite."",""Suaviza abdomen.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Ver-Oír-Oler-Sentir;"[""Mira colores y formas 15 s."",""Escucha capas de sonidos 15 s."",""Percibe olores 15 s."",""Siente aire en piel y ropa 15 s."",""Respira natural.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Objeto de enfoque 60s;"[""Elige un objeto cercano."",""Observa color, textura y sombras."",""Si surge un pensamiento, nómbralo y vuelve."",""Respira suave mientras miras."",""Cierra con una exhalación larga.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Rutina 3-2-1 pre-rendimiento;"[""3 respiraciones nasales lentas."",""2 chequeos corporales (pies y manos)."",""1 palabra clave (p. ej., foco)."",""Visualiza lo siguiente que realizarás."",""Empieza con calma.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Foco respiración deportiva;"[""Postura estable."",""Inhala por nariz 4."",""Exhala 6 relajando hombros."",""Siente planta de los pies."",""Dirige la atención a tu siguiente tarea.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Alinea y respira en silla;"[""Apoya ambos pies."",""Alarga la columna."",""Relaja hombros y mandíbula."",""Inhala y exhala fluido sin retener."",""Ajusta si hay molestias.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Cuello amable;"[""Alarga coronilla al inhalar."",""Exhala y gira el cuello a la derecha."",""Inhala al centro."",""Exhala y gira a la izquierda."",""Repite.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Masaje facial consciente;"[""Relaja la frente con yemas de dedos."",""Desliza sobre pómulos suavemente."",""Afloja mandíbula con círculos pequeños."",""Respiraciones largas."",""Descansa el rostro.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Triángulo respiratorio 3-3-3;"[""Inhala 3."",""Pausa cómoda 3 si sienta bien."",""Exhala 3."",""Repite el ciclo con suavidad."",""Omite la pausa si no es cómoda.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Contar sonidos hasta 10;"[""Siéntate o de pie estable."",""Cuenta mentalmente 1 sonido, luego 2… hasta 10."",""Si te distraes, vuelve a 1 con amabilidad."",""Si no hay 10, imagina uno a uno los que falten.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Pies raíz al suelo;"[""De pie, coloca plantas firmes."",""Distribuye peso entre talones y metatarsos."",""Siente texturas y temperatura."",""Respira dejando caer el peso."",""Micro-flexiona rodillas si ayuda.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Autocompasión 1 frase + toque;"[""Mano al pecho o brazo."",""Inhala reconociendo: es difícil."",""Exhala diciendo: que sea amable conmigo ahora."",""Permite suavidad en el gesto."",""Respira 2 veces más.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Espacio de silencio;"[""Haz una pausa en lo que estés haciendo."",""Escucha el silencio entre sonidos."",""Siente el cuerpo quieto."",""Inhala y exhala lento."",""Vuelve renovando la atención.""]";1;;;;;;;;;;;;;;;;;;;;;;;
